time,battery_current(A),battery_temperature(C),battery_voltage(V),controller_temperature(C),daily_load_consumption(Wh),daily_solar_production(Wh),daily_wind_turbine_production(Wh),dump_load_current(A),load_voltage(V),output_current(A),solar_current(A),solar_voltage(V),total_load_consumption(Wh),total_solar_production(Wh),total_wind_turbine_production(Wh),wind_charge_current(A),wind_turbine(RPM),wind_voltage(V)
2020-08-27 04:00:00+03:00,0.0,1319.9999999999989,1481.399999999999,1701.1999999999987,10655,0,0,0,1400.8000000000004,123.89999999999986,0.0,296.5000000000002,292459,476130,57,0,0,47.19999999999996
2020-08-27 05:00:00+03:00,0.0,1337.2999999999993,1496.4000000000012,1713.999999999998,13914,0,0,0,1438.2999999999984,125.99999999999986,0.0,299.20000000000016,305776,484200,59,0,0,47.99999999999996
2020-08-27 06:00:00+03:00,0.0,1298.3,1491.0,1554.6999999999998,4776,0,0,0,1413.7,37.80000000000001,0.0,884.0,297647,476130,57,0,0,14.400000000000004
2020-08-27 07:00:00+03:00,1.2,1251.7000000000005,1503.8000000000002,1396.3,0,0,0,0,1452.2,0.0,1.2,1793.4999999999998,302992,476142,58,0,0,0.6
2020-08-27 08:00:00+03:00,9.700000000000003,1468.2,1530.0,1513.0999999999997,0,125,0,0,1506.7999999999997,0.0,9.700000000000003,1918.9999999999995,313440,484378,60,0,0,0.7999999999999999
2020-08-27 09:00:00+03:00,39.50000000000001,1837.1,1555.8999999999992,1857.9999999999998,0,736,0,0,1535.4999999999993,0.0,32.900000000000006,2032.5000000000002,313440,484988,60,0,0,0.30000000000000004
2020-08-27 10:00:00+03:00,191.0,1998.9,1520.8000000000009,2190.0000000000005,0,3589,0,0,1521.3999999999994,0.0,161.39999999999998,1835.8,297768,463630,57,0,0,2.400000000000001
2020-08-27 11:00:00+03:00,268.6,2242.6000000000004,1609.0,2524.8999999999996,0,10247,0,0,1620.1999999999998,0.0,230.8,1894.2000000000003,308216,486426,59,0,0,3.800000000000002
2020-08-27 12:00:00+03:00,202.90000000000006,2381.4999999999995,1747.5000000000014,2621.9999999999995,0,17926,0,0,1720.5999999999995,0.0,176.20000000000005,2046.0000000000005,308216,502181,59,0,0,4.200000000000002
2020-08-27 13:00:00+03:00,61.39999999999996,2285.7999999999993,1718.0000000000007,2437.800000000001,0,21013,0,0,1712.0,0.0,53.59999999999998,2070.100000000001,308216,497192,59,0,0,0.6
2020-08-27 14:00:00+03:00,30.10000000000001,2184.8,1681.1000000000001,2298.3000000000006,0,21959,0,0,1642.6999999999996,0.0,26.900000000000013,2069.6000000000004,297768,490072,57,0,429,81.7
2020-08-27 15:00:00+03:00,19.900000000000002,2186.6000000000004,1686.2,2286.5000000000005,0,23233,0,0,1615.1999999999998,0.0,17.100000000000005,2125.1999999999994,297768,499418,57,0,76,21.0
2020-08-27 16:00:00+03:00,0.8,2059.9000000000005,1593.1000000000004,2175.8999999999996,0,23423,0,0,1573.9,0.0,0.7,2168.7000000000007,308216,499612,59,0,606,112.0
